"77","lucgustin","MR","32.jpg","Luc","Gustin","1951-07-14","Burdinne","Mayor"
"78","olivierhenry","PS","33.jpg","Olivier","Henry","1972-10-24","Heppignies",\N
"79","mohammedjabour","PS","34.jpg","Mohammed","Jabour","1961-04-24","Saint-Josse-ten-Noode",""
"80","ericjadot","ECOLO","35.jpg","Eric","Jadot","1972-03-28","Vottem",""
"81","christophelacroix","PS","36.jpg","Christophe","Lacroix","1966-12-22","Wanze","Walloon Government"
"82","fouadlahssaini","ECOLO","37.jpg","Fouad","Lahssaini","1957-03-19","",""
"83","karinelalieux","PS","38.jpg","Karine","Lalieux","1964-05-14","Laeken","Alderman (or Chair of CPAS)"
"84","marieclairelambert","PS","39.jpg","Marie-Claire","Lambert","1948-02-29","Grivegnée",""
"85","laurentlouis","Debout les Belges","970.png","Laurent","Louis","1980-02-29","Montigny le Tilleul","Chair of a party"
"87","oliviermaingain","DéFI","42.jpg","Olivier","Maingain","1958-08-03","Bruxelles","Chair of a party"
"88","mariechristinemarghem","MR","43.jpg","Marie-Christine","Marghem","1963-05-22","Tournai","Federal Goverment"
"89","alainmathot","PS","44.jpg","Alain","Mathot","1972-08-29","Seraing","Mayor"
"90","yvanmayeur","PS","45.jpg","Yvan","Mayeur","1960-01-24","Bruxelles","Mayor"
"91","laurencemeire","PS","46.jpg","Laurence","Meire","1971-03-30","Chapelle-lez-Herlaimont",\N
"92","charlesmichel","MR","47.jpg","Charles","Michel","1975-12-21","Wavre","Federal Goverment"
"94","miejeannenyangalumbala","cdH","1843.gif","Mie-Jeanne","Nyanga-Lumbala","1954-01-08","Bruxelles",\N
"95","andreperpete","PS","49.jpg","André","Perpète","1956-03-16","Arlon",\N
"97","francoseminara","PS","51.jpg","Franco","Seminara","1958-01-18","Quaregnon",\N
"98","theresesnoyetdoppuers","ECOLO","52.jpg","Thérèse","Snoy et d'Oppuers","1952-01-27","Ophain-BoiSeigneur-Isaac",\N
"99","ericthiebaut","PS","53.jpg","Eric","Thiébaut","1969-06-30","Hensies","Mayor"
"100","damienthiery","MR","54.jpg","Damien","Thiéry","1963-05-21","Linkebeek","Alderman (or Chair of CPAS)"
"101","brunovangrootenbrulle","PS","55.jpg","Bruno","Van Grootenbrulle","1953-04-18","Ath",\N
"102","christianevienne","PS","795.jpg","Christiane","Vienne","1951-07-18","Mouscron","Belgian Senate"
"103","valeriewarzeecaverenne","MR","621.jpg","Valérie","Warzée-Caverenne","1971-06-11","Hamois","Alderman (or Chair of CPAS)"
"104","meyremalmaci","Groen!","58.jpg","Meyrem","Almaci","1976-02-25","Antwerpen","Chair of a party"
"105","gerolfannemans","Vlaams Belang","59.jpg","Gerolf","Annemans","1958-11-08","Antwerpen","Province or municipal councillor"
"106","sonjabecq","CD&V","60.jpg","Sonja","Becq","1957-12-08","Meise","Alderman (or Chair of CPAS)"
"107","hansbonte","sp.a","61.jpg","Hans","Bonte","1962-01-20","Vilvoorde","Mayor"
"108","siegfriedbracke","N-VA","62.jpg","Siegfried","Bracke","1953-02-21","Gent","Chair of a parliament"
"109","evabrems","Groen!","63.jpg","Eva","Brems","1969-08-12","Heverlee",""
"110","kristofcalvo","Groen!","64.jpg","Kristof","Calvo","1987-01-30","Mechelen","Federal Chamber of Representatives"
"111","alexandracolen","Independent","65.jpg","Alexandra","Colen","1955-07-09","Kasterlee",\N
"112","cathycoudyser","N-VA","66.jpg","Cathy","Coudyser","1969-12-14","Knokke-Heist","Province or municipal councillor"
"113","ritadebont","Vlaams Belang","67.jpg","Rita","De Bont","1954-07-29","Mortsel",""
"114","mathiasdeclercq","Open VLD","2393.jpg","Mathias","De Clercq","1981-12-26","Gent","Alderman (or Chair of CPAS)"
"115","hermandecroo","Open VLD","69.jpg","Herman","De Croo","1937-08-12","Brakel","Province or municipal councillor"
"116","filipdeman","Vlaams Belang","1844.jpg","Filip","De Man","1955-11-11","Vilvoorde",\N
"117","ingeborgdemeulemeester","N-VA","71.jpg","Ingeborg","De Meulemeester","1965-04-14","Vrasene","Alderman (or Chair of CPAS)"
"118","minnekederidder","N-VA","72.jpg","Minneke","De Ridder","1980-12-02","Emblem",\N
"119","wouterdevriendt","Groen!","73.jpg","Wouter","De Vriendt","1977-06-22","Oostende","Federal Chamber of Representatives"
"120","sophiedewit","N-VA","74.jpg","Sophie","De Wit","1973-08-28","Aartselaar","Mayor"
"121","jeanmariededecker","LDD","75.jpg","Jean-Marie","Dedecker","1952-06-13","Slijpe",""
"122","peterdedecker","N-VA","76.jpg","Peter","Dedecker","1983-11-07","Gent","Federal Chamber of Representatives"
"123","koenraaddegroote","N-VA","77.jpg","Koenraad","Degroote","1959-09-30","Wakken","Mayor"
"124","zuhaldemir","N-VA","78.jpg","Zuhal","Demir","1980-03-02","Antwerpen","Federal Chamber of Representatives"
"125","elsdemol","N-VA","79.jpg","Els","Demol","1958-01-28","Herent",""
"126","roeldeseyn","CD&V","80.jpg","Roel","Deseyn","1976-10-14","Bellegem","Federal Chamber of Representatives"
"127","mayadetiege","sp.a","81.jpg","Maya","Detiège","1967-08-30","Antwerpen","Federal Chamber of Representatives"
"128","carldevlies","CD&V","82.jpg","Carl","Devlies","1953-01-23","Leuven",""
"130","guydhaeseleer","Vlaams Belang","84.jpg","Guy","D'haeseleer","1969-03-12","Ninove","Belgian Senate"
"131","leendierick","CD&V","1566.png","Leen","Dierick","1978-05-02","Grembergen","Alderman (or Chair of CPAS)"
"132","daphnedumery","N-VA","86.jpg","Daphné","Dumery","1974-01-04","Blankenberge","Province or municipal councillor"
"133","theofrancken","N-VA","87.jpg","Theo","Francken","1978-02-07","Linden","Federal Goverment"
"134","davidgeerts","sp.a","88.jpg","David","Geerts","1975-04-17","Heist-op-den-Berg","Federal Chamber of Representatives"
"135","carolinegennez","sp.a","89.jpg","Caroline","Gennez","1975-08-21","Brussel","Province or municipal councillor"
"136","hagengoyvaerts","Vlaams Belang","90.jpg","Hagen","Goyvaerts","1961-03-23","Heverlee",""
"137","karoliengrosemans","N-VA","91.jpg","Karolien","Grosemans","1970-03-09","Herk-de-Stad","Alderman (or Chair of CPAS)"
"138","janjambon","N-VA","92.jpg","Jan","Jambon","1960-04-26","Brasschaat","Federal Goverment"
"139","geraldkindermans","CD&V","93.jpg","Gerald","Kindermans","1957-07-08","Heers","Province or municipal councillor"
"140","meryamekitir","sp.a","94.jpg","Meryame","Kitir","1980-04-20","Maasmechelen","Province or municipal councillor"
"141","sabienlahayebattheu","Open VLD","95.jpg","Sabien","Lahaye-Battheu","1967-08-05","Poperinge","Federal Chamber of Representatives"
"142","nahimalanjri","CD&V","643.jpg","Nahima","Lanjri","1968-02-17","Borgerhout (Antwerpen)","Federal Chamber of Representatives"
"143","peterlogghe","Vlaams Belang","97.jpg","Peter","Logghe","1959-03-20","Roeselare",""
"144","peterluykx","N-VA","98.jpg","Peter","Luykx","1964-05-06","Lommel","Province or municipal councillor"
"145","bertmaertens","N-VA","2270.jpg","Bert","Maertens","1981-11-16","Izegem","Mayor"
"146","rosalinemouton","sp.a","100.jpg","Rosaline","Mouton","1981-10-14","Koksijde",\N
"147","nathaliemuylle","CD&V","101.jpg","Nathalie","Muylle","1969-02-08","Roeselare","Alderman (or Chair of CPAS)"
"148","barbarapas","Vlaams Belang","102.jpg","Barbara","Pas","1981-03-01","Dendermonde","Province or municipal councillor"
"149","annickponthier","Vlaams Belang","103.jpg","Annick","Ponthier","1971-10-24","Bilzen",\N
"150","gwendolynrutten","Open VLD","104.jpg","Gwendolyn","Rutten","1975-06-26","Rillaar","Chair of a party"
"151","willemfrederikschiltz","Open VLD","598.png","Willem-Frederik","Schiltz","1979-06-22","Antwerpen","Flemish Parliament"
"152","bertschoofs","Vlaams Belang","106.jpg","Bert","Schoofs","1967-06-10","Paal",\N
