"63","laurentdevin","PS","19","Laurent","Devin","1970-03-15","Leval-Trahegnies","Mayor"
"64","benoitdreze","cdH","557","Benoît","Drèze","1957-10-05","Liège","Walloon Parliament"
"65","denisducarme","MR","20","Denis","Ducarme","1973-10-23","Momignies","Federal Chamber of Representatives"
"66","isabelleemmery","PS","21","Isabelle","Emmery","1966-07-03","Bruxelles","Province or municipal councillor"
"67","juliefernandezfernandez","PS","22","Julie","Fernandez Fernandez","1972-03-20","Bressoux","Alderman (or Chair of CPAS)"
"68","andreflahaut","PS","23","André","Flahaut","1955-08-18","Nivelles","Government of the Federation Wallonia-Brussels"
"69","catherinefonck","cdH","24","Catherine","Fonck","1968-09-22","Noirchain","Province or municipal councillor"
"70","andrefrederic","PS","25","André","Frédéric","1958-07-04","Theux","Federal Chamber of Representatives"
"72","zoegenot","ECOLO","2287","Zoé","Genot","1974-05-29","Bruxelles","Brussels Parliament"
"73","josephgeorge","cdH","28","Joseph","George","1954-11-21","Huy","Alderman (or Chair of CPAS)"
"74","murielgerkens","ECOLO","29","Muriel","Gerkens","1957-04-25","Roclenge","Federal Chamber of Representatives"
"75","georgesgilkinet","ECOLO","30","Georges","Gilkinet","1971-01-25","Assesse","Province or municipal councillor"
"76","philippegoffin","MR","31","Philippe","Goffin","1967-04-01","Crisnée","Mayor"
"77","lucgustin","MR","32","Luc","Gustin","1951-07-14","Burdinne","Mayor"
"78","olivierhenry","PS","33","Olivier","Henry","1972-10-24","Heppignies",\N
"79","mohammedjabour","PS","34","Mohammed","Jabour","1961-04-24","Saint-Josse-ten-Noode",""
"80","ericjadot","ECOLO","35","Eric","Jadot","1972-03-28","Vottem",""
"81","christophelacroix","PS","36","Christophe","Lacroix","1966-12-22","Wanze","Walloon Government"
"82","fouadlahssaini","ECOLO","37","Fouad","Lahssaini","1957-03-19","",""
"83","karinelalieux","PS","38","Karine","Lalieux","1964-05-14","Laeken","Alderman (or Chair of CPAS)"
"84","marieclairelambert","PS","39","Marie-Claire","Lambert","1948-02-29","Grivegnée",""
"85","laurentlouis","Debout les Belges","970","Laurent","Louis","1980-02-29","Montigny le Tilleul","Chair of a party"
"87","oliviermaingain","DéFI","42","Olivier","Maingain","1958-08-03","Bruxelles","Chair of a party"
"88","mariechristinemarghem","MR","43","Marie-Christine","Marghem","1963-05-22","Tournai","Federal Goverment"
"89","alainmathot","PS","44","Alain","Mathot","1972-08-29","Seraing","Mayor"
"90","yvanmayeur","PS","45","Yvan","Mayeur","1960-01-24","Bruxelles","Mayor"
"91","laurencemeire","PS","46","Laurence","Meire","1971-03-30","Chapelle-lez-Herlaimont",\N
"92","charlesmichel","MR","47","Charles","Michel","1975-12-21","Wavre","Federal Goverment"
"94","miejeannenyangalumbala","cdH","1843","Mie-Jeanne","Nyanga-Lumbala","1954-01-08","Bruxelles",\N
"95","andreperpete","PS","49","André","Perpète","1956-03-16","Arlon",\N
"97","francoseminara","PS","51","Franco","Seminara","1958-01-18","Quaregnon",\N
"98","theresesnoyetdoppuers","ECOLO","52","Thérèse","Snoy et d'Oppuers","1952-01-27","Ophain-BoiSeigneur-Isaac",\N
"99","ericthiebaut","PS","53","Eric","Thiébaut","1969-06-30","Hensies","Mayor"
"100","damienthiery","MR","54","Damien","Thiéry","1963-05-21","Linkebeek","Alderman (or Chair of CPAS)"
"101","brunovangrootenbrulle","PS","55","Bruno","Van Grootenbrulle","1953-04-18","Ath",\N
"102","christianevienne","PS","795","Christiane","Vienne","1951-07-18","Mouscron","Belgian Senate"
"103","valeriewarzeecaverenne","MR","621","Valérie","Warzée-Caverenne","1971-06-11","Hamois","Alderman (or Chair of CPAS)"
"104","meyremalmaci","Groen!","58","Meyrem","Almaci","1976-02-25","Antwerpen","Chair of a party"
"105","gerolfannemans","Vlaams Belang","59","Gerolf","Annemans","1958-11-08","Antwerpen","Province or municipal councillor"
"106","sonjabecq","CD&V","60","Sonja","Becq","1957-12-08","Meise","Alderman (or Chair of CPAS)"
"107","hansbonte","sp.a","61","Hans","Bonte","1962-01-20","Vilvoorde","Mayor"
"108","siegfriedbracke","N-VA","62","Siegfried","Bracke","1953-02-21","Gent","Chair of a parliament"
"109","evabrems","Groen!","63","Eva","Brems","1969-08-12","Heverlee",""
"110","kristofcalvo","Groen!","64","Kristof","Calvo","1987-01-30","Mechelen","Federal Chamber of Representatives"
"111","alexandracolen","Independent","65","Alexandra","Colen","1955-07-09","Kasterlee",\N
"112","cathycoudyser","N-VA","66","Cathy","Coudyser","1969-12-14","Knokke-Heist","Province or municipal councillor"
"113","ritadebont","Vlaams Belang","67","Rita","De Bont","1954-07-29","Mortsel",""
"114","mathiasdeclercq","Open VLD","2393","Mathias","De Clercq","1981-12-26","Gent","Alderman (or Chair of CPAS)"
"115","hermandecroo","Open VLD","69","Herman","De Croo","1937-08-12","Brakel","Province or municipal councillor"
"116","filipdeman","Vlaams Belang","1844","Filip","De Man","1955-11-11","Vilvoorde",\N
"117","ingeborgdemeulemeester","N-VA","71","Ingeborg","De Meulemeester","1965-04-14","Vrasene","Alderman (or Chair of CPAS)"
"118","minnekederidder","N-VA","72","Minneke","De Ridder","1980-12-02","Emblem",\N
"119","wouterdevriendt","Groen!","73","Wouter","De Vriendt","1977-06-22","Oostende","Federal Chamber of Representatives"
"120","sophiedewit","N-VA","74","Sophie","De Wit","1973-08-28","Aartselaar","Mayor"
"121","jeanmariededecker","LDD","75","Jean-Marie","Dedecker","1952-06-13","Slijpe",""
"122","peterdedecker","N-VA","76","Peter","Dedecker","1983-11-07","Gent","Federal Chamber of Representatives"
"123","koenraaddegroote","N-VA","77","Koenraad","Degroote","1959-09-30","Wakken","Mayor"
"124","zuhaldemir","N-VA","78","Zuhal","Demir","1980-03-02","Antwerpen","Federal Chamber of Representatives"
"125","elsdemol","N-VA","79","Els","Demol","1958-01-28","Herent",""
"126","roeldeseyn","CD&V","80","Roel","Deseyn","1976-10-14","Bellegem","Federal Chamber of Representatives"
"127","mayadetiege","sp.a","81","Maya","Detiège","1967-08-30","Antwerpen","Federal Chamber of Representatives"
"128","carldevlies","CD&V","82","Carl","Devlies","1953-01-23","Leuven",""
"130","guydhaeseleer","Vlaams Belang","84","Guy","D'haeseleer","1969-03-12","Ninove","Belgian Senate"
"131","leendierick","CD&V","1566","Leen","Dierick","1978-05-02","Grembergen","Alderman (or Chair of CPAS)"
"132","daphnedumery","N-VA","86","Daphné","Dumery","1974-01-04","Blankenberge","Province or municipal councillor"
"133","theofrancken","N-VA","87","Theo","Francken","1978-02-07","Linden","Federal Goverment"
"134","davidgeerts","sp.a","88","David","Geerts","1975-04-17","Heist-op-den-Berg","Federal Chamber of Representatives"
"135","carolinegennez","sp.a","89","Caroline","Gennez","1975-08-21","Brussel","Province or municipal councillor"
"136","hagengoyvaerts","Vlaams Belang","90","Hagen","Goyvaerts","1961-03-23","Heverlee",""
"137","karoliengrosemans","N-VA","91","Karolien","Grosemans","1970-03-09","Herk-de-Stad","Alderman (or Chair of CPAS)"
"138","janjambon","N-VA","92","Jan","Jambon","1960-04-26","Brasschaat","Federal Goverment"
"139","geraldkindermans","CD&V","93","Gerald","Kindermans","1957-07-08","Heers","Province or municipal councillor"
"140","meryamekitir","sp.a","94","Meryame","Kitir","1980-04-20","Maasmechelen","Province or municipal councillor"
"141","sabienlahayebattheu","Open VLD","95","Sabien","Lahaye-Battheu","1967-08-05","Poperinge","Federal Chamber of Representatives"
